epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2254.02,1.52833,2.59299,1.54645,0.54451,0.70724,0.65072,0.3952,1.30444,2.10056,1.38872,0.00332413,0.00332413,0.00332413
2,4462.58,1.3849,1.7521,1.35524,0.57098,0.70018,0.66206,0.39404,1.29725,1.83868,1.35776,0.00661352,0.00661352,0.00661352
3,6660.13,1.43951,1.60465,1.39093,0.54668,0.64347,0.59604,0.3295,1.4794,1.7273,1.50143,0.00985891,0.00985891,0.00985891
4,8867.94,1.47899,1.51223,1.40756,0.51945,0.52367,0.50629,0.27077,1.61269,1.75643,1.589,0.009802,0.009802,0.009802
5,11043.8,1.44375,1.39483,1.38105,0.59262,0.68583,0.65823,0.41006,1.29973,1.17593,1.37223,0.009736,0.009736,0.009736
6,13238.1,1.3978,1.28422,1.35987,0.59785,0.70884,0.687,0.42656,1.28837,1.11283,1.34369,0.00967,0.00967,0.00967
7,15438.8,1.37295,1.2485,1.34013,0.58863,0.71829,0.69412,0.44319,1.27738,1.04275,1.32786,0.009604,0.009604,0.009604
8,17625.2,1.33962,1.19413,1.31339,0.61911,0.69894,0.71206,0.46257,1.22034,1.01845,1.29063,0.009538,0.009538,0.009538
9,19821,1.31997,1.16198,1.31068,0.60273,0.73011,0.71338,0.46941,1.19514,1.04816,1.27812,0.009472,0.009472,0.009472
10,22016.9,1.31088,1.15899,1.29461,0.62005,0.76806,0.73549,0.48647,1.18672,0.95016,1.28409,0.009406,0.009406,0.009406
11,24213.1,1.2884,1.13682,1.28603,0.63151,0.74185,0.727,0.48354,1.14915,0.9489,1.24402,0.00934,0.00934,0.00934
12,26398.5,1.27294,1.10467,1.2727,0.56997,0.8079,0.72764,0.4895,1.1509,0.90933,1.24279,0.009274,0.009274,0.009274
13,28601.4,1.25747,1.08477,1.26828,0.61669,0.75549,0.73721,0.49664,1.15997,0.90549,1.24817,0.009208,0.009208,0.009208
14,30801.7,1.25587,1.07499,1.26496,0.62436,0.75261,0.74614,0.51138,1.12293,0.89482,1.22843,0.009142,0.009142,0.009142
15,33011.7,1.22034,1.05703,1.24051,0.64634,0.72431,0.73811,0.49858,1.15198,0.91512,1.24939,0.009076,0.009076,0.009076
16,35210.9,1.22706,1.05684,1.24295,0.60498,0.77854,0.7414,0.49322,1.15665,0.89586,1.2468,0.00901,0.00901,0.00901
17,37392.7,1.22294,1.05547,1.25131,0.63817,0.74891,0.74481,0.519,1.09514,0.87411,1.21927,0.008944,0.008944,0.008944
18,39591,1.2115,1.02949,1.23525,0.6018,0.72966,0.71733,0.47635,1.18692,0.96683,1.28097,0.008878,0.008878,0.008878
19,41793.8,1.20871,1.03096,1.24206,0.64659,0.75515,0.75635,0.53127,1.07638,0.84185,1.20044,0.008812,0.008812,0.008812
20,44005,1.19177,1.00652,1.2294,0.62752,0.78404,0.74901,0.52483,1.07609,0.84741,1.20431,0.008746,0.008746,0.008746
21,46212.6,1.18737,1.00018,1.22552,0.6691,0.7656,0.76308,0.53739,1.06588,0.84095,1.19639,0.00868,0.00868,0.00868
22,48415.2,1.17136,0.99143,1.21563,0.64516,0.7577,0.75614,0.52839,1.06455,0.83587,1.19316,0.008614,0.008614,0.008614
23,50616.3,1.17007,0.98843,1.21921,0.66386,0.75626,0.75767,0.53033,1.08419,0.84344,1.19968,0.008548,0.008548,0.008548
24,52837.9,1.1698,0.97861,1.21067,0.63812,0.78632,0.75838,0.54256,1.03368,0.82185,1.16979,0.008482,0.008482,0.008482
25,55044.9,1.16241,0.98305,1.21201,0.65263,0.77236,0.75969,0.53026,1.07418,0.81012,1.19584,0.008416,0.008416,0.008416
26,57245,1.14908,0.95656,1.20481,0.62895,0.79589,0.76833,0.54814,1.03074,0.8124,1.17325,0.00835,0.00835,0.00835
27,59447.1,1.14833,0.96639,1.20069,0.65226,0.77383,0.7637,0.54094,1.04608,0.81667,1.17749,0.008284,0.008284,0.008284
28,61652.3,1.14684,0.96793,1.20603,0.6249,0.80161,0.75703,0.54519,1.0365,0.81231,1.17337,0.008218,0.008218,0.008218
29,63862.4,1.1355,0.95693,1.20054,0.62109,0.78183,0.76751,0.54764,1.04908,0.80338,1.17942,0.008152,0.008152,0.008152
30,66066.8,1.13983,0.94983,1.19899,0.66907,0.75336,0.7696,0.5555,1.02865,0.81604,1.16139,0.008086,0.008086,0.008086
31,68271.5,1.14117,0.95761,1.20212,0.66678,0.76541,0.77063,0.55358,1.01596,0.79533,1.17028,0.00802,0.00802,0.00802
32,70467.5,1.11572,0.93767,1.18532,0.63554,0.77911,0.77337,0.54956,1.04457,0.79767,1.17837,0.007954,0.007954,0.007954
33,72671.4,1.12015,0.93198,1.19113,0.65588,0.79405,0.7681,0.55879,0.99718,0.7855,1.14631,0.007888,0.007888,0.007888
34,74885.6,1.11971,0.93668,1.18189,0.65741,0.7544,0.76019,0.55191,1.01706,0.79703,1.16735,0.007822,0.007822,0.007822
35,77091,1.11183,0.92006,1.18215,0.6308,0.80629,0.77044,0.55322,1.02218,0.78047,1.16405,0.007756,0.007756,0.007756
36,79306.3,1.10486,0.91221,1.18446,0.65929,0.78905,0.77363,0.55839,1.01318,0.77173,1.15623,0.00769,0.00769,0.00769
37,81522.2,1.10595,0.92036,1.1814,0.6662,0.78215,0.77229,0.56309,0.98895,0.76958,1.14023,0.007624,0.007624,0.007624
38,83725.6,1.09879,0.90878,1.17825,0.6377,0.79351,0.7751,0.56828,1.00218,0.75942,1.15086,0.007558,0.007558,0.007558
39,85936.5,1.09984,0.91898,1.18363,0.67829,0.74753,0.773,0.57149,0.98926,0.7691,1.13852,0.007492,0.007492,0.007492
40,88149.1,1.10006,0.90622,1.17655,0.65198,0.77049,0.7769,0.56663,1.00931,0.76923,1.14788,0.007426,0.007426,0.007426
41,90340.1,1.09842,0.91025,1.18107,0.66249,0.79713,0.77028,0.5652,0.98459,0.76447,1.13952,0.00736,0.00736,0.00736
42,92537.8,1.08386,0.89669,1.1716,0.64027,0.80245,0.76945,0.56705,0.96745,0.75587,1.12943,0.007294,0.007294,0.007294
43,94744.1,1.08095,0.89601,1.1671,0.65061,0.78596,0.77985,0.57377,0.98865,0.74737,1.13885,0.007228,0.007228,0.007228
44,96961.9,1.07761,0.89211,1.16073,0.64921,0.80125,0.78274,0.57058,0.9913,0.74906,1.14318,0.007162,0.007162,0.007162
45,99167.9,1.07797,0.88592,1.16292,0.63317,0.79887,0.77848,0.57633,0.98911,0.75243,1.13992,0.007096,0.007096,0.007096
46,101359,1.06813,0.88227,1.15368,0.65742,0.7808,0.77872,0.57968,0.96236,0.74709,1.12929,0.00703,0.00703,0.00703
47,103560,1.06761,0.88438,1.15907,0.6622,0.78179,0.77399,0.57347,0.97245,0.7432,1.13383,0.006964,0.006964,0.006964
48,105750,1.06713,0.8832,1.1611,0.66547,0.79348,0.79044,0.59387,0.95988,0.72346,1.12555,0.006898,0.006898,0.006898
49,107951,1.05992,0.87568,1.14852,0.652,0.80904,0.78942,0.58669,0.96429,0.73137,1.12581,0.006832,0.006832,0.006832
50,110160,1.04644,0.86376,1.1445,0.63093,0.82889,0.78497,0.58558,0.96554,0.73241,1.13158,0.006766,0.006766,0.006766
51,112350,1.05205,0.86667,1.15081,0.65714,0.79794,0.78628,0.58545,0.96258,0.73906,1.12727,0.0067,0.0067,0.0067
52,114540,1.04757,0.86261,1.15158,0.66629,0.76308,0.77876,0.57983,0.96054,0.73869,1.12149,0.006634,0.006634,0.006634
53,116726,1.03607,0.84872,1.14359,0.642,0.79136,0.77518,0.57592,0.96371,0.73864,1.12783,0.006568,0.006568,0.006568
54,118920,1.04587,0.86038,1.14837,0.67997,0.77864,0.78204,0.58528,0.95072,0.71966,1.12202,0.006502,0.006502,0.006502
55,121117,1.04937,0.86939,1.15178,0.66833,0.78345,0.78985,0.59128,0.95258,0.71902,1.1203,0.006436,0.006436,0.006436
56,123302,1.04013,0.85932,1.14433,0.6391,0.78302,0.78404,0.59045,0.95157,0.73026,1.11509,0.00637,0.00637,0.00637
57,125501,1.04726,0.85857,1.14905,0.68728,0.75805,0.79128,0.59304,0.95031,0.71792,1.11622,0.006304,0.006304,0.006304
